Nama Rumah Makan,Lokasi,Alamat lengkap,Jam Operasional,Makanan,Masakan,Halal?,Fasilitas
Pepper Lunch,Trans Studio Mall,"Trans Studio Mall, Lantai 2, Jl. Gatot Subroto No. 289, Cibangkong, Batununggal, Bandung",10.00 - 22.00,"Yakiniku, Daging, Nasi",Asia,Ya,Bawa Pulang
Yoshinoya,Trans Studio Mall,"Trans Studio Mall Lantai 2 Unit #D04 & D05, Jl. Gatot Subroto No.289, Cibangkong, Batununggal, Kota Bandung",10.00 - 22.00,"Rice Bowl, Tempura, Katsu","Asia, Jepang",Ya,"Bawa Pulang, Kursi Bayi"
Pago Restaurant,Hotel Papandayan,"Hotel Papandayan, Jl. Gatot Subroto No.83, Malabar, Lengkong, Bandung",18.00 - 22.00,"Sukiyaki, Shabu Shabu",Jepang,?,"Parkir, Reservasi, Kartu Kredit"
Burger King,Trans Studio Mall,"Trans Studio Mall Bandung, Jl. Gatot Subroto No.269-273, Bandung",10.00 - 22.00,"Burger, Kentang Goreng, Ayam Goreng Tepung",Barat,Ya,"Parkir, Kartu Kredit, Kursi Bayi"
Es Teler 77,Trans Studio Mall,"Trans Studio Mall, Lantai 2, Food Court, Jl. Gatot Subroto No. 289, Bandung",10.00 - 22.00,"Bakmi, Bakso, Nasi Goreng, Mie",Indonesia,?,"Bawa Pulang, Wifi, Kartu Kredit"
Hokkaido Baked Cheese Tart,Trans Studio Mall,"Trans Studio Mall Bandung, Lantai 1, Jl. Jendral Gatot Subroto No. 289, Cibangkong, Batununggal, Bandung",10.00 - 22.00,"Kue, Dessert",Jepang,?,Bawa Pulang
Grill Time,Trans Studio Mall,"Trans Studio Mall, Garden Resto Area, Lantai 2, Jl. Gatot Subroto No.289, Cibangkong, Batununggal, Bandung",10.00 - 22.00,BBQ,Asia,?,Bawa Pulang
Shihlin,Trans Studio Mall,"Jl. Buah Batu No.165, Bandung",10.00 - 22.00,"Camilan, Tempura, Kentang Goreng, Katsu",Asia,?,Bawa Pulang
Burger King,Buah Batu,"Jl. Buah Batu No.165, Bandung",00.00 - 23.59,"Burger,Kentang Goreng, Ayam Goreng Tepung",Barat,Ya,"Bawa Pulang, Kartu Kredit"
STW,Buah Batu,"Jl. Palasari No. 45, Bandung",10.00 - 21.00,"Rice Bowl, Pasta","Asia, Barat",?,"Bawa Pulang, Parkir"
Bebek Asap Balcon,Buah Batu,"Jl. Lodaya No. 19, Bandung",10.30 - 21.30,"Bebek, Ayam Goreng, Ayam Geprek, Ikan, Nasi",Indonesia,?,"Bawa Pulang, Parkir, Reservasi"
Makmur Jaya Coffee Roaster,Buah Batu,"Jl. Lengkong Besar No.62, Bandung",07.30 - 23.00,"Rice Bowl, Kentang Goreng, Kopi, Teh",Indonesia,?,"Bawa Pulang, Parkir, Wifi, Kartu Kredit "
X.O Suki,Trans Studio Mall,"Trans Studio Mall Bandung, Lantai Ground, Jl. Jenderal Gatot Subroto No.289, Cibangkong, Batununggal, Bandung",10.00 - 21.30,"Bebek, Sukiyaki, Daging, Ikan","Asia, Jepang",?,"Bawa Pulang, Wifi, Kartu Kredit, Kursi Bayi, Kursi Roda, Area Merokok"
Raffel's Sandwich,Trans Studio Mall,"Trans Studio Mall, Lantai 2, Jl. Gatot Subroto No.289, Bandung",10.00 - 22.00,"Burger, Sandwich, Kentang Goreng",Barat,?,"Bawa Pulang, Kartu Kredit"
Wingz O Wingz,BKR,"Jl. BKR No 93, Bandung",10.00 - 23.00,"Wings, Kentang Goreng",Barat,?,"Bawa Pulang, Parkir"
Warung Nasi ibu Imas,Balong Gede 67,"Jl. Balong Gede No. 67, Bandung",08.00 - 19.00,"Ayam Goreng, Karedok, Ikan, Nasi","Sunda, Indonesia",?,"Bawa Pulang, Parkir, Area Merokok"
Domino's Pizza,Buah Batu,"Jl. Buah Batu No.163, Bandung",10.00 - 23.00,"Pizza, Pasta",Barat,Ya,"Bawa Pulang, Wifi, Kartu Kredit"
Ngopi Doeloe,Burangrang,"Jl. Burangrang No. 27, Bandung",07.00 - 23.00,"Burger, Tom Yum, Nasi Goreng, Pasta, Kopi, Teh","Asia, Italia",?,"Bawa Pulang, Wifi, Kartu Kredit, Kursi Bayi, Kursi Roda"
Sushi Tei,Trans Studio Mall,"Trans Studio Mall, Lantai Ground, Jl. Gatot Subroto No. 289, Cibangkong, Batununggal, Bandung",10.00 - 22.00,"Ramen, Sushi, Ikan, Katsu",Jepang,Ya,"Bawa Pulang, Wifi"
Chingu Korean Fan Cafe,Buah Batu,"Jl. Buah Batu No.218, Bandung",10.00 - 22.00,"Bibimbap, Bulgogi, Topokki,",Korea,?,"Bawa Pulang, Reservasi"
Eatboss,Batununggal,"Jl. MTC Barat No.11, Sekejati, Kec. Buahbatu, Kota Bandung",10.00 - 22.00,"Minuman, Kopi, Teh, Pizza, Pasta",Indonesia,?,"Bawa Pulang, Reservasi"
